name,asciiname,country,geonameid
Sunchales,Sunchales,Argentina,3834971
Santo Tomé,Santo Tome,Argentina,3835793
Santiago del Estero,Santiago del Estero,Argentina,3835869
Santa Rosa,Santa Rosa,Argentina,3835994
Santa Lucía,Santa Lucia,Argentina,3836194
Santa Fe,Santa Fe,Argentina,3836277
San Salvador de Jujuy,San Salvador de Jujuy,Argentina,3836564
San Ramón de la Nueva Orán,San Ramon de la Nueva Oran,Argentina,3836620
San Rafael,San Rafael,Argentina,3836669
San Pedro de Jujuy,San Pedro de Jujuy,Argentina,3836772
San Nicolás de los Arroyos,San Nicolas de los Arroyos,Argentina,3836846
San Miguel de Tucumán,San Miguel de Tucuman,Argentina,3836873
San Martín de los Andes,San Martin de los Andes,Argentina,3836951
San Martín,San Martin,Argentina,3836992
San Luis,San Luis,Argentina,3837056
San Justo,San Justo,Argentina,3837124
San Juan,San Juan,Argentina,3837213
San José de Jáchal,San Jose de Jachal,Argentina,3837240
San Jorge,San Jorge,Argentina,3837441
San Francisco,San Francisco,Argentina,3837675
Catamarca,Catamarca,Argentina,3837702
San Antonio Oeste,San Antonio Oeste,Argentina,3837980
Salta,Salta,Argentina,3838233
Rufino,Rufino,Argentina,3838506
Rosario,Rosario,Argentina,3838583
Río Tercero,Rio Tercero,Argentina,3838793
Río Segundo,Rio Segundo,Argentina,3838797
Río Grande,Rio Grande,Argentina,3838854
Río Gallegos,Rio Gallegos,Argentina,3838859
Río Cuarto,Rio Cuarto,Argentina,3838874
Río Ceballos,Rio Ceballos,Argentina,3838902
Rawson,Rawson,Argentina,3839307
Rafaela,Rafaela,Argentina,3839479
Quitilipi,Quitilipi,Argentina,3839490
Punta Alta,Punta Alta,Argentina,3839982
Puerto Madryn,Puerto Madryn,Argentina,3840092
Presidencia Roque Sáenz Peña,Presidencia Roque Saenz Pena,Argentina,3840300
Pocito,Pocito,Argentina,3840860
Plottier,Plottier,Argentina,3840885
Pergamino,Pergamino,Argentina,3841490
Pérez,Perez,Argentina,3841500
Paraná,Parana,Argentina,3841956
Palpalá,Palpala,Argentina,3842190
Olavarría,Olavarria,Argentina,3842670
Nueve de Julio,Nueve de Julio,Argentina,3842881
Neuquén,Neuquen,Argentina,3843123
Morteros,Morteros,Argentina,3843619
Monteros,Monteros,Argentina,3843803
Mendoza,Mendoza,Argentina,3844421
Marcos Juárez,Marcos Juarez,Argentina,3844899
Machagai,Machagai,Argentina,3845330
Lincoln,Lincoln,Argentina,3846864
Libertador General San Martín,Libertador General San Martin,Argentina,3846915
Las Breñas,Las Brenas,Argentina,3848687
La Rioja,La Rioja,Argentina,3848950
La Falda,La Falda,Argentina,3851331
La Calera,La Calera,Argentina,3852374
Laboulaye,Laboulaye,Argentina,3852468
Junín,Junin,Argentina,3853354
Joaquín V. González,Joaquin V. Gonzalez,Argentina,3853491
Jesús María,Jesus Maria,Argentina,3853510
Granadero Baigorria,Granadero Baigorria,Argentina,3854895
Gobernador Gálvez,Gobernador Galvez,Argentina,3854985
General Villegas,General Villegas,Argentina,3855041
General Roca,General Roca,Argentina,3855065
General Pinedo,General Pinedo,Argentina,3855074
General Pico,General Pico,Argentina,3855075
General Mosconi,General Mosconi,Argentina,3855116
Gálvez,Galvez,Argentina,3855244
Firmat,Firmat,Argentina,3855554
Famaillá,Famailla,Argentina,3855666
Esquel,Esquel,Argentina,3855974
Esperanza,Esperanza,Argentina,3856022
Embarcación,Embarcacion,Argentina,3856231
Embalse,Embalse,Argentina,3856235
El Bolsón,El Bolson,Argentina,3858765
Diamante,Diamante,Argentina,3859384
Deán Funes,Dean Funes,Argentina,3859512
Cutral-Có,Cutral-Co,Argentina,3859552
Cruz del Eje,Cruz del Eje,Argentina,3859828
Crespo,Crespo,Argentina,3859904
Cosquín,Cosquin,Argentina,3859965
Coronel Suárez,Coronel Suarez,Argentina,3860164
Coronda,Coronda,Argentina,3860217
Córdoba,Cordoba,Argentina,3860259
Comodoro Rivadavia,Comodoro Rivadavia,Argentina,3860443
Cipolletti,Cipolletti,Argentina,3861056
Cinco Saltos,Cinco Saltos,Argentina,3861061
Chivilcoy,Chivilcoy,Argentina,3861344
Chimbas,Chimbas,Argentina,3861416
Chilecito,Chilecito,Argentina,3861445
Charata,Charata,Argentina,3861678
Chacabuco,Chacabuco,Argentina,3861953
Centenario,Centenario,Argentina,3862144
Caucete,Caucete,Argentina,3862240
Catriel,Catriel,Argentina,3862254
Castelli,Castelli,Argentina,3862320
Casilda,Casilda,Argentina,3862351
Carcarañá,Carcarana,Argentina,3862655
Capitán Bermúdez,Capitan Bermudez,Argentina,3862738
Cañada de Gómez,Canada de Gomez,Argentina,3862981
Caleta Olivia,Caleta Olivia,Argentina,3863379
Bell Ville,Bell Ville,Argentina,3864331
Bella Vista,Bella Vista,Argentina,3864375
Bahía Blanca,Bahia Blanca,Argentina,3865086
Arroyo Seco,Arroyo Seco,Argentina,3865385
Arroyito,Arroyito,Argentina,3865424
Añatuya,Anatuya,Argentina,3865840
Alta Gracia,Alta Gracia,Argentina,3866163
Allen,Allen,Argentina,3866242
Alderetes,Alderetes,Argentina,3866367
Albardón,Albardon,Argentina,3866425
Aguilares,Aguilares,Argentina,3866496
Balvanera,Balvanera,Argentina,6693228
Villa Santa Rita,Villa Santa Rita,Argentina,6693230
Villa Mercedes,Villa Mercedes,Argentina,7116866
San Miguel,San Miguel,Argentina,7645166
San Carlos de Bariloche,San Carlos de Bariloche,Argentina,7647007
Adrogué,Adrogue,Argentina,10172104
Ingeniero Pablo Nogués,Ingeniero Pablo Nogues,Argentina,11147723
José C. Paz,Jose C. Paz,Argentina,12076997
Pago Pago,Pago Pago,American Samoa,5881576
Wilten,Wilten,Austria,2761164
Wiener Neustadt,Wiener Neustadt,Austria,2761353
Vienna,Vienna,Austria,2761369
Wetzelsdorf,Wetzelsdorf,Austria,2761436
Wels,Wels,Austria,2761524
Weinzierl bei Krems,Weinzierl bei Krems,Austria,2761669
Villach,Villach,Austria,2762372
Telfs,Telfs,Austria,2763810
Straßgang,Strassgang,Austria,2764178
Stockerau,Stockerau,Austria,2764279
Steyr,Steyr,Austria,2764359
Simmering,Simmering,Austria,2765028
Sankt Pölten,Sankt Poelten,Austria,2766429
Sankt Peter,Sankt Peter,Austria,2766446
Sankt Peter,Sankt Peter,Austria,2766447
Sankt Martin,Sankt Martin,Austria,2766522
Salzburg,Salzburg,Austria,2766824
Saalfelden am Steinernen Meer,Saalfelden am Steinernen Meer,Austria,2766922
Pradl,Pradl,Austria,2768442
Perchtoldsdorf,Perchtoldsdorf,Austria,2769110
Ottakring,Ottakring,Austria,2769359
Mödling,Moedling,Austria,2771335
Meidling,Meidling,Austria,2771706
Lustenau,Lustenau,Austria,2772173
Linz,Linz,Austria,2772400
Klosterneuburg,Klosterneuburg,Austria,2773913
Klagenfurt am Wörthersee,Klagenfurt am Woerthersee,Austria,2774326
Innsbruck,Innsbruck,Austria,2775220
Innere Stadt,Innere Stadt,Austria,2775260
Hötting,Hoetting,Austria,2775479
Hohenems,Hohenems,Austria,2775742
Hietzing,Hietzing,Austria,2776421
Hernals,Hernals,Austria,2776488
Graz,Graz,Austria,2778067
Floridsdorf,Floridsdorf,Austria,2779469
Feldkirch,Feldkirch,Austria,2779674
Eggenberg,Eggenberg,Austria,2780361
Dornbirn,Dornbirn,Austria,2780741
Bregenz,Bregenz,Austria,2781503
Baden,Baden,Austria,2782067
Amstetten,Amstetten,Austria,2782555
Favoriten,Favoriten,Austria,8063098
Donaustadt,Donaustadt,Austria,11903636
Jakomini,Jakomini,Austria,11903637
Lend,Lend,Austria,11903638
Geidorf,Geidorf,Austria,11903639
Sankt Leonhard,Sankt Leonhard,Austria,11903640
Andritz,Andritz,Austria,11903641
Gries,Gries,Austria,11903642
Scarborough,Scarborough,Australia,2061840
Rockingham,Rockingham,Australia,2062338
Perth,Perth,Australia,2063523
Mount Isa,Mount Isa,Australia,2065594
Morphett Vale,Morphett Vale,Australia,2065740
Mandurah,Mandurah,Australia,2067119
Kwinana,Kwinana,Australia,2068079
Gosnells,Gosnells,Australia,2070571
Geraldton,Geraldton,Australia,2070998
Gawler,Gawler,Australia,2071059
Darwin,Darwin,Australia,2073124
Byford,Byford,Australia,2075230
Busselton,Busselton,Australia,2075265
Bunbury,Bunbury,Australia,2075432
Australind,Australind,Australia,2077454
Alice Springs,Alice Springs,Australia,2077895
Albany,Albany,Australia,2077963
Adelaide,Adelaide,Australia,2078025
Yarraville,Yarraville,Australia,2142457
Wollert,Wollert,Australia,2143255
Wodonga,Wodonga,Australia,2143285
Wheelers Hill,Wheelers Hill,Australia,2143887
Westmead,Westmead,Australia,2143973
Werribee,Werribee,Australia,2144095
Warwick,Warwick,Australia,2144502
Warrnambool,Warrnambool,Australia,2144528
Warragul,Warragul,Australia,2144604
Wantirna South,Wantirna South,Australia,2144728
Wangaratta,Wangaratta,Australia,2144764
Wahroonga,Wahroonga,Australia,2145092
Upper Coomera,Upper Coomera,Australia,2145461
Truganina,Truganina,Australia,2145990
Traralgon,Traralgon,Australia,2146108
Townsville,Townsville,Australia,2146142
Toowoomba,Toowoomba,Australia,2146268
Thornbury,Thornbury,Australia,2146793
Thomastown,Thomastown,Australia,2146827
Templestowe,Templestowe,Australia,2147140
Tarneit,Tarneit,Australia,2147357
Taree,Taree,Australia,2147381
Tamworth,Tamworth,Australia,2147497
Sydney,Sydney,Australia,2147714
Surry Hills,Surry Hills,Australia,2147821
Surfers Paradise,Surfers Paradise,Australia,2147849
